family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
interdomain,0,baseline_latency,1583.4571635243801,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.229476581260964,0.0
interdomain,1,baseline_latency,1670.6514949803448,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.4075298814384425,0.0
interdomain,2,baseline_latency,1731.0701791783104,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.566756876816187,0.0
interdomain,3,baseline_latency,1778.5484900666286,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.690339232114736,0.0
interdomain,4,baseline_latency,1852.7377687295061,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.892928835928115,0.0
interdomain,5,baseline_latency,1890.036591073693,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.963756692132167,0.0
interdomain,6,baseline_latency,1890.3908419706636,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.942802864709192,0.0
interdomain,7,baseline_latency,1873.2100679339983,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.948961975533106,0.0
interdomain,8,baseline_latency,1870.4324686733923,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.947341201315582,0.0
interdomain,9,baseline_latency,1834.1222293546416,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.849889028997304,0.0
interdomain,10,baseline_latency,1760.396198159834,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.674956489060553,0.0
interdomain,11,baseline_latency,1666.8980476042104,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.401950865285684,0.0
interdomain,12,baseline_latency,1565.2329728994189,18.301411765230863,2.592964824120603,0.0,0.0,0.0,4.143522343021593,0.0
interdomain,13,baseline_latency,1520.8839707089355,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.9887201407939523,0.0
interdomain,14,baseline_latency,1418.401972840389,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.740640432172156,0.0
interdomain,15,baseline_latency,1355.0403248760717,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.5838468735371185,0.0
interdomain,16,baseline_latency,1303.2853614747191,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.461668806010386,0.0
interdomain,17,baseline_latency,1260.7935922518468,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.3355037818289452,0.0
interdomain,18,baseline_latency,1269.831115684989,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.3502316029558226,0.0
interdomain,19,baseline_latency,1249.5539680796978,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.298135881337747,0.0
interdomain,20,baseline_latency,1308.3145552388085,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.445161170695796,0.0
interdomain,21,baseline_latency,1332.1315226790998,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.515080738410684,0.0
interdomain,22,baseline_latency,1438.7913938705003,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.7867210164583045,0.0
interdomain,23,baseline_latency,1511.59097008345,18.301411765230863,2.592964824120603,0.0,0.0,0.0,3.9871598226927882,0.0
interdomain,0,ciro_core,1517.4290657843792,18.87991360956185,2.5979899497487438,0.0,4.1698695273220325,3.1609684091695485,3.922975143590215,7.246793587384504
interdomain,1,ciro_core,1596.0054276385858,18.885731158846735,2.5979899497487438,1.0050251256281406,4.468081318338456,3.1927558437101826,4.089770943230876,7.209456243184048
interdomain,2,ciro_core,1658.7548202645617,18.887108675802143,2.5979899497487438,2.0100502512562812,4.177494349078022,3.2002826781045925,4.240779383895324,7.13805227021686
interdomain,3,ciro_core,1702.0081888700317,18.887870058473073,2.5979899497487438,1.0050251256281406,4.303526253238642,3.2044429182035383,4.351463741313318,7.22496762027656
interdomain,4,ciro_core,1770.514077680365,18.9067142795786,2.5979899497487438,1.0050251256281406,4.4379562200820795,3.307408860652462,4.536549771589383,7.283552986135584
interdomain,5,ciro_core,1809.4093259104532,18.895826507384296,2.5979899497487438,0.5025125628140703,4.265910276236347,3.2479174272375277,4.612580209908205,7.074812566469994
interdomain,6,ciro_core,1812.8773992364254,18.894752762591956,2.592964824120603,2.512562814070352,4.100392416915925,3.2420504219697723,4.6201576220321705,6.527576589806075
interdomain,7,ciro_core,1798.1560940054428,18.944166497935342,2.5979899497487438,1.0050251256281406,4.006703530658152,3.5120500043913987,4.614249119234892,6.7632941605326815
interdomain,8,ciro_core,1787.7373983247828,18.93621004902412,2.5979899497487438,0.5025125628140703,4.421173805182133,3.468575495357409,4.591027820515841,7.202118598672584
interdomain,9,ciro_core,1745.2545448770707,18.913130392778633,2.5979899497487438,1.5075376884422111,4.8452433025055335,3.34246688394781,4.476396078714515,7.701061777902313
interdomain,10,ciro_core,1684.6203473575897,18.921769157698805,2.5979899497487438,2.0100502512562812,4.304477076322584,3.3896696081473885,4.3289020005405074,7.40230394293116
interdomain,11,ciro_core,1598.0595617058816,18.93544866635319,2.5979899497487438,1.0050251256281406,4.129735828611031,3.464415255258463,4.089955739832532,7.087655791744146
interdomain,12,ciro_core,1495.4264381100986,18.924238770721182,2.5979899497487438,1.0050251256281406,4.459817547800023,3.4031637202632044,3.8474416702198826,7.1456275190686895
interdomain,13,ciro_core,1448.8849445622518,18.921447034261103,2.5979899497487438,0.5025125628140703,4.734024917964159,3.387909506567064,3.6959319872343794,7.3404035185405005
interdomain,14,ciro_core,1357.4970304847202,18.940613378804333,2.5979899497487438,1.5075376884422111,4.293912693430967,3.4926355505963125,3.471506195967125,7.194870533138815
interdomain,15,ciro_core,1297.0371341737573,18.941374761475263,2.5979899497487438,1.0050251256281406,4.280550891178774,3.4967957906952583,3.3330586797912387,6.997737420024353
interdomain,16,ciro_core,1241.3752872650439,18.944166497935342,2.5979899497487438,0.5025125628140703,4.750308415926773,3.5120500043913987,3.195061712072247,7.701692705993064
interdomain,17,ciro_core,1207.688028508424,18.943463683162175,2.5979899497487438,0.5025125628140703,4.212074368856317,3.5082097827616012,3.11306290832484,6.668883864437864
interdomain,18,ciro_core,1211.0176091227588,18.935507234250952,2.5979899497487438,0.5025125628140703,4.631600677898359,3.4647352737276114,3.103820988895943,7.35503222650272
interdomain,19,ciro_core,1198.9476834787413,18.935507234250952,2.5979899497487438,0.0,4.04994789290516,3.4647352737276114,3.0814686715553816,6.569383966511521
interdomain,20,ciro_core,1251.6912464858412,18.93727891315831,2.5979899497487438,1.0050251256281406,4.327958328234885,3.4744158324193872,3.2179976965465706,6.593696575981859
interdomain,21,ciro_core,1279.9167426762078,18.93727891315831,2.5979899497487438,0.0,3.91964150040387,3.4744158324193872,3.2960893801344144,6.230052012269986
interdomain,22,ciro_core,1369.8573421030387,18.93057659816454,2.5979899497487438,1.5075376884422111,4.79110815237932,3.4377939855381348,3.512021685254332,7.2542796263585645
interdomain,23,ciro_core,1437.0840195500537,18.929589519916153,2.5979899497487438,2.512562814070352,4.929041784979903,3.432400531409852,3.7113209698461946,6.9181789823589686
interdomain,0,lowcarb_bgp,1515.5319685174607,18.880096104342336,2.5979899497487438,0.0,4.28967682685744,3.161965571480449,3.830812720201501,9.425843917088349
interdomain,1,lowcarb_bgp,1595.0111053415742,18.877336036381266,2.5979899497487438,10.552763819095478,4.527598357050551,3.1468843963422906,4.103643755487604,6.894703703101434
interdomain,2,lowcarb_bgp,1657.784611754927,18.86417164633245,2.592964824120603,8.542713567839195,4.233541095264543,3.074953387862256,4.2731265543537855,6.429734062547945
interdomain,3,lowcarb_bgp,1701.73797985919,18.88098188801706,2.5979899497487438,5.025125628140704,4.318718923685965,3.1668055460468274,4.322547801118608,7.841467595304439
interdomain,4,lowcarb_bgp,1769.773118099797,18.913812806400745,2.5979899497487438,6.030150753768845,4.47794890512763,3.3461956324775186,4.525747452507585,7.504327075521031
interdomain,5,lowcarb_bgp,1808.972915035131,18.91457537437437,2.5979899497487438,4.522613065326633,4.289000351708069,3.3503623491407235,4.62179137924171,6.889244056472207
interdomain,6,lowcarb_bgp,1812.0926330002362,18.900946429338386,2.592964824120603,6.030150753768845,4.141905855235965,3.2758929846413416,4.65645690584155,5.793189951234058
interdomain,7,lowcarb_bgp,1797.2738287270404,18.850697683109743,2.592964824120603,7.035175879396985,4.053802641083898,3.0013308531881493,4.594184343867099,7.168728178150734
interdomain,8,lowcarb_bgp,1787.184303539399,18.877756149489816,2.592964824120603,4.0201005025125625,4.45074422777943,3.149179919299423,4.587116456210038,7.281178524936872
interdomain,9,lowcarb_bgp,1743.362669318703,18.909960516870065,2.5979899497487438,9.045226130653266,4.9483921291261765,3.325146493864075,4.452623759547924,8.191223903766582
interdomain,10,lowcarb_bgp,1683.230122894735,18.930170136954057,2.5979899497487438,6.030150753768845,4.383449324973657,3.435573057362236,4.320004560570799,7.592625285825557
interdomain,11,lowcarb_bgp,1597.4783837001942,18.962120277823793,2.5979899497487438,9.547738693467336,4.164601668577832,3.6101505231861273,4.100229706187858,6.854260039048496
interdomain,12,lowcarb_bgp,1494.8083658627122,18.878937171148223,2.5979899497487438,7.035175879396985,4.499305103843613,3.1556330917298205,3.83570603890764,7.428855901606738
interdomain,13,lowcarb_bgp,1448.3263189905656,18.93005573432709,2.5979899497487438,8.040201005025125,4.770755239438045,3.4349479546191586,3.707756545997545,7.043953571044017
interdomain,14,lowcarb_bgp,1356.489114018056,18.884350127817463,2.5979899497487438,7.5376884422110555,4.364972695176866,3.185209808207634,3.5030280278791155,6.352185103101743
interdomain,15,lowcarb_bgp,1296.319321108218,18.86068811144188,2.592964824120603,7.5376884422110555,4.333524448670869,3.0559191464864717,3.302777422817763,7.842674663216036
interdomain,16,lowcarb_bgp,1240.804793400399,18.902180622281126,2.5979899497487438,5.527638190954774,4.794081934874261,3.2826366881248292,3.191172011543156,7.814057601281059
interdomain,17,lowcarb_bgp,1207.1971425633305,18.89373211936026,2.5979899497487438,6.532663316582915,4.251009048419261,3.236473566780728,3.088502147265405,7.405227237610951
interdomain,18,lowcarb_bgp,1210.7280456581614,18.933896895957194,2.5979899497487438,6.030150753768845,4.654403983079715,3.4559362897234482,3.0955981031924216,7.600474532529167
interdomain,19,lowcarb_bgp,1198.4512755732806,18.943218743846884,2.5979899497487438,5.025125628140704,4.089674700881578,3.506871419806694,3.0615284907832643,7.17397339185774
interdomain,20,lowcarb_bgp,1251.387789806532,18.896758517864047,2.5979899497487438,7.035175879396985,4.35115280223153,3.25300998780994,3.211281220320213,6.788650480707348
interdomain,21,lowcarb_bgp,1279.2174062372837,18.87937771329731,2.592964824120603,5.025125628140704,3.9721390524111695,3.1580402401768204,3.279989768260815,6.688067434154115
