family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
ospf_metric,0,OSPF,1099.727864442063,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.570493315608514,0.0
ospf_metric,1,OSPF,1130.6285010277277,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.6192689377476275,0.0
ospf_metric,2,OSPF,1203.8870424038134,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.800601532541277,0.0
ospf_metric,3,OSPF,1268.9466077265765,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.9583468981583927,0.0
ospf_metric,4,OSPF,1315.9867517552484,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,3.0481506793358095,0.0
ospf_metric,5,OSPF,1321.0104442407887,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,3.0494406439671526,0.0
ospf_metric,6,OSPF,1332.096169311331,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,3.0854118355312115,0.0
ospf_metric,7,OSPF,1359.448915990786,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,3.1703375350082066,0.0
ospf_metric,8,OSPF,1286.9389921374266,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,3.019120082164271,0.0
ospf_metric,9,OSPF,1268.654096685216,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.917484006132501,0.0
ospf_metric,10,OSPF,1206.1083927079276,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.7978967920543485,0.0
ospf_metric,11,OSPF,1182.5984997926403,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.7317554755370685,0.0
ospf_metric,12,OSPF,1084.178363265558,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.5056127352344393,0.0
ospf_metric,13,OSPF,1070.8409999484345,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.468581495053902,0.0
ospf_metric,14,OSPF,985.9899557252858,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.2838420208612926,0.0
ospf_metric,15,OSPF,922.5970232369059,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.1399406303259534,0.0
ospf_metric,16,OSPF,907.1462418971788,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.1109219275735107,0.0
ospf_metric,17,OSPF,876.7865688836745,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.0279971820420437,0.0
ospf_metric,18,OSPF,890.1435578509748,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.038446939065184,0.0
ospf_metric,19,OSPF,878.8220787353232,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.0582942906612893,0.0
ospf_metric,20,OSPF,933.3265743720244,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.1794030575763195,0.0
ospf_metric,21,OSPF,953.548443479666,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.2214291389000875,0.0
ospf_metric,22,OSPF,1000.1997475169837,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.3081852895596295,0.0
ospf_metric,23,OSPF,1030.7714748744627,13.997132616487455,1.8580645161290323,0.0,0.0,0.0,2.3636828335705107,0.0
ospf_metric,0,C,1017.1030715786605,14.420967741935486,1.9096774193548387,0.0,7.513203541980036,3.0280139301444398,2.491334610604733,3.0795141354040627
ospf_metric,1,C,1042.1144510512372,14.612724014336923,1.9225806451612903,2.5806451612903225,7.828747452946061,4.397982177609377,2.5508474727614217,2.6122351928108265
ospf_metric,2,C,1115.8307045395404,14.589426523297496,1.9225806451612903,5.161290322580645,7.3143355450067835,4.2315374372631664,2.7490535781112846,1.840602950153276
ospf_metric,3,C,1166.7367397019218,14.612724014336923,1.9225806451612903,5.161290322580645,8.054702018375083,4.397982177609377,2.866156385378391,3.1162847344708386
ospf_metric,4,C,1200.0862628870516,14.637813620071691,1.935483870967742,2.5806451612903225,8.807116691228847,4.5772303595206845,2.932244130144472,3.80252032739384
ospf_metric,5,C,1211.9241446701187,14.683691756272404,1.935483870967742,2.5806451612903225,8.257792362373342,4.90499846358703,2.9344674147116963,3.770305530718008
ospf_metric,6,C,1230.9409187424037,14.557168458781364,1.9225806451612903,2.5806451612903225,7.593689772505146,4.0010754890914795,2.99860570663924,2.8134373470770777
ospf_metric,7,C,1251.1979286084093,14.589426523297496,1.9225806451612903,2.5806451612903225,7.962858045569282,4.2315374372631664,3.082829994904513,2.7601963241263285
ospf_metric,8,C,1191.641543597554,14.476523297491044,1.9096774193548387,3.870967741935484,7.404970175128261,3.4249206186623247,2.9269650203702606,3.052381464997859
ospf_metric,9,C,1171.1369792584292,14.635304659498214,1.9225806451612903,5.161290322580645,7.686659246329083,4.55930554132955,2.854373989014059,2.1631658300709122
ospf_metric,10,C,1110.0039699840145,14.975627240143371,1.9741935483870967,9.03225806451613,7.96814144607199,6.990679094540625,2.7579529174837676,1.4276393140739199
ospf_metric,11,C,1086.3410707242933,14.975627240143371,1.9741935483870967,0.0,8.139485132547094,6.990679094540625,2.688444906727792,1.5854482290645573
ospf_metric,12,C,1002.4698959456628,14.612724014336923,1.9225806451612903,5.161290322580645,7.536441427754403,4.397982177609377,2.4577602677380512,1.909810994471606
ospf_metric,13,C,977.2125817122941,15.056272401433695,1.9870967741935484,6.451612903225806,8.743447275613189,7.566833964969805,2.4098847855390613,2.377750527274323
ospf_metric,14,C,907.1164719981549,14.471684587813625,1.9096774193548387,16.774193548387096,7.999420609626008,3.3903513264365803,2.2069359042140047,3.36740089484319
