scope,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,changed_pct,emissions_proxy,deltaE_pct
hour0,baseline_latency,1068.1150166843904,13.924551971326165,1.8580645161290323,0.0,0.0,0.0,0.0,2.4784093549837394,0.0
hour0,ciro_core,1065.1407596856195,14.64068100358423,1.9483870967741936,0.0,0.2784584948541866,5.142923332346625,30.322580645161292,2.2381086342104526,9.695763949973607
hour0,lowcarb_bgp,1017.103071578661,14.420967741935485,1.9096774193548387,0.0,4.775885022577354,3.565039447097133,38.70967741935484,2.491334610604733,-0.521514155641919
hour0,carbon_optimal_as_path,1017.103071578661,14.420967741935485,1.9096774193548387,0.0,4.775885022577354,3.565039447097133,38.70967741935484,2.491334610604733,-0.521514155641919
mean24h,baseline_latency,1072.0193277790686,13.924551971326165,1.8580645161290323,0.0,0.0,0.0,0.0,2.4668476314937826,0.0
mean24h,ciro_core,1070.0018675025192,14.640681003584229,1.9483870967741936,0.0,0.18819252827549546,5.142923332346611,0.0,2.2229274613905203,9.887930125443463
mean24h,lowcarb_bgp,1016.8732201390652,14.59151732377539,1.9263440860215055,4.768583450210379,5.1441337120526605,4.789851435239416,0.0,2.4853723800964658,-0.7509482290750819
mean24h,carbon_optimal_as_path,1016.8732201390652,14.59151732377539,1.9263440860215055,4.768583450210379,5.1441337120526605,4.789851435239416,0.0,2.4853723800964658,-0.7509482290750819
