family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
interdomain,0,baseline_latency,1068.1150166843902,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.4784093549837394,0.0
interdomain,1,baseline_latency,1098.4107539804872,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.525146736209202,0.0
interdomain,2,baseline_latency,1168.7574884755386,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.6973237122314746,0.0
interdomain,3,baseline_latency,1232.2017700880856,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.850212815934661,0.0
interdomain,4,baseline_latency,1275.4198322387215,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.929193610413713,0.0
interdomain,5,baseline_latency,1282.2121732501146,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.9333534574416253,0.0
interdomain,6,baseline_latency,1292.4853492194345,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.9701426247651024,0.0
interdomain,7,baseline_latency,1314.354589362472,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,3.04675459749397,0.0
interdomain,8,baseline_latency,1249.2775398783472,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.9127554452615874,0.0
interdomain,9,baseline_latency,1230.2570665165822,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.809637799210882,0.0
interdomain,10,baseline_latency,1171.6943052728932,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.6986681455914825,0.0
interdomain,11,baseline_latency,1151.5862013391627,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.635812979443294,0.0
interdomain,12,baseline_latency,1054.2349381304462,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.417535350268219,0.0
interdomain,13,baseline_latency,1038.8194488540655,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.376110164478158,0.0
interdomain,14,baseline_latency,954.7530187884997,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.1974894190585936,0.0
interdomain,15,baseline_latency,896.2411984585714,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.0648201527571954,0.0
interdomain,16,baseline_latency,880.6796552689626,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.035343789427161,0.0
interdomain,17,baseline_latency,848.3204772551293,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,1.9491314793537808,0.0
interdomain,18,baseline_latency,865.7261022542864,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,1.961372437285743,0.0
interdomain,19,baseline_latency,850.8195508024653,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,1.976155777227849,0.0
interdomain,20,baseline_latency,903.5419352384104,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.091987424178911,0.0
interdomain,21,baseline_latency,924.7259910426717,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.139090492069573,0.0
interdomain,22,baseline_latency,972.6462814854649,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.2262279075160643,0.0
interdomain,23,baseline_latency,1003.1831828124419,13.924551971326162,1.8580645161290323,0.0,0.0,0.0,2.2816674832488104,0.0
interdomain,0,ciro_core,1065.140759685619,14.640681003584236,1.9483870967741936,0.0,0.2784584948542079,5.1429233323466885,2.2381086342104526,9.695763949973607
interdomain,1,ciro_core,1097.8931733290406,14.640681003584236,1.9483870967741936,0.0,0.047120865265661185,5.1429233323466885,2.2794761079838604,9.728964447988753
interdomain,2,ciro_core,1168.7946473843194,14.640681003584236,1.9483870967741936,0.0,-0.0031793515033907344,5.1429233323466885,2.435336266948483,9.712866279081188
interdomain,3,ciro_core,1226.6459577334438,14.640681003584236,1.9483870967741936,0.0,0.45088495159722625,5.1429233323466885,2.5614792603843224,10.130245500831322
interdomain,4,ciro_core,1272.2313515308056,14.640681003584236,1.9483870967741936,0.0,0.24999459999922,5.1429233323466885,2.631443230456595,10.16492658247552
interdomain,5,ciro_core,1278.9665156837289,14.640681003584236,1.9483870967741936,0.0,0.2531295236543198,5.1429233323466885,2.6374255558311805,10.088381980006712
interdomain,6,ciro_core,1291.681816650188,14.640681003584236,1.9483870967741936,0.0,0.062169568864496115,5.1429233323466885,2.681465404724664,9.719304979950874
interdomain,7,ciro_core,1307.1520887567413,14.640681003584236,1.9483870967741936,0.0,0.5479876331716863,5.1429233323466885,2.7358000616604015,10.206090641147668
interdomain,8,ciro_core,1245.2189794241174,14.640681003584236,1.9483870967741936,0.0,0.3248726023382289,5.1429233323466885,2.6327730686416344,9.612285750780167
interdomain,9,ciro_core,1229.96361204224,14.640681003584236,1.9483870967741936,0.0,0.023853102114113497,5.1429233323466885,2.538379298501086,9.654571873498492
interdomain,10,ciro_core,1168.4286388873659,14.640681003584236,1.9483870967741936,0.0,0.2787131738057498,5.1429233323466885,2.435666748869334,9.745599774903223
interdomain,11,ciro_core,1150.113188248455,14.640681003584236,1.9483870967741936,0.0,0.12791166557873512,5.1429233323466885,2.3719131968819207,10.012082974760645
interdomain,12,ciro_core,1056.5543151854665,14.640681003584236,1.9483870967741936,0.0,-0.22000570946107073,5.1429233323466885,2.191986190684097,9.329715057076532
interdomain,13,ciro_core,1037.5661892210692,14.640681003584236,1.9483870967741936,0.0,0.12064268091811514,5.1429233323466885,2.141687079718713,9.865834011569449
interdomain,14,ciro_core,952.559096885756,14.640681003584236,1.9483870967741936,0.0,0.22978947011108508,5.1429233323466885,1.982974608277789,9.761813136406497
interdomain,15,ciro_core,895.1781035921856,14.640681003584236,1.9483870967741936,0.0,0.11861704954136958,5.1429233323466885,1.8620639545174442,9.819557309580054
interdomain,16,ciro_core,878.3647773273959,14.640681003584236,1.9483870967741936,0.0,0.26285130214115376,5.1429233323466885,1.8349740016587923,9.84451810103108
interdomain,17,ciro_core,844.1165034933066,14.640681003584236,1.9483870967741936,0.0,0.4955643385416419,5.1429233323466885,1.7502930581223037,10.20138576271932
interdomain,18,ciro_core,867.1182789168419,14.640681003584236,1.9483870967741936,0.0,-0.1608102907987118,5.1429233323466885,1.7665168079530682,9.93465726490615
interdomain,19,ciro_core,844.9840090065981,14.640681003584236,1.9483870967741936,0.0,0.6858730256449033,5.1429233323466885,1.7677119304918734,10.547946125400129
