algorithm,carbon_total_mean,carbon_total_std,avg_carbon_mean,avg_carbon_std,avg_latency_mean,avg_latency_std,avg_hops_mean,avg_hops_std,switch_rate_mean,switch_rate_std
C,125087.88019393446,8879.681301659519,1059.0955819167348,57.3007638798818,16.331612046159456,1.0661027869001956,2.1031609195402297,0.08649425287356327,8.524904214559388,2.9693486590038316
C+IncD,129913.40419081051,10417.19606607996,1099.7806970103074,69.64097179711302,15.190266374749129,0.8050811895639436,2.0011494252873563,0.06781609195402305,0.0,0.0
CE,144775.63252999232,6398.251554142596,1226.3454120280753,33.43695533971572,17.107186188651703,0.974778781244293,2.2396551724137934,0.1396551724137931,1.1494252873563218,1.1494252873563218
OSPF,135395.042723284,10953.279062288377,1146.1715864384291,73.39776177467388,15.199673873380764,0.7450442437511358,2.0011494252873563,0.06781609195402305,0.0,0.0
baseline_latency,133874.5400445683,7061.04280146004,1133.8414971017341,40.62169328183529,15.107049352307968,0.780197500456115,2.0011494252873563,0.06781609195402305,0.0,0.0
carbon_optimal_as_path,125304.7753515282,8662.786144065787,1060.96536775806,55.430978038556475,15.801918559569417,0.5364093003101562,2.0428160919540232,0.02614942528735642,5.076628352490422,0.4789272030651346
ciro_core,130754.02275287904,11075.96862161177,1106.8119789940017,75.10461579342177,15.880400474365986,0.3007708447363573,2.0844827586206898,0.01551724137931032,0.0,0.0
lowcarb_bgp,125304.7753515282,8662.786144065787,1060.96536775806,55.430978038556475,15.801918559569417,0.5364093003101562,2.0428160919540232,0.02614942528735642,5.076628352490422,0.4789272030651346
