seed,family,algo,deltaC_pct,deltaE_pct
42,interdomain,baseline_latency,0.0,0.0
42,interdomain,ciro_core,-0.6346222227211692,9.896332246903157
42,interdomain,lowcarb_bgp,4.944117879759956,-3.495263599706791
42,interdomain,carbon_optimal_as_path,4.944117879759956,-3.495263599706791
42,ospf_metric,OSPF,0.0,0.0
42,ospf_metric,C,8.459789725582615,2.9766665932280802
42,ospf_metric,C+IncD,4.111917004076766,12.046740648521883
42,ospf_metric,CE,-3.2973130403455064,-13.741403259111618
43,interdomain,baseline_latency,0.0,0.0
43,interdomain,ciro_core,5.626722128924477,23.226198720792187
43,interdomain,lowcarb_bgp,8.020840254997907,19.252616952290516
43,interdomain,carbon_optimal_as_path,8.020840254997907,19.252616952290516
43,ospf_metric,OSPF,0.0,0.0
43,ospf_metric,C,6.616399933988837,18.064311606234277
43,ospf_metric,C+IncD,3.974192739454972,23.905900214066797
43,ospf_metric,CE,-11.198505152030371,-19.329721737877705
