family,hour,algo,carbon_mean,carbon_std,latency_ms_mean,latency_ms_std,hops_mean,hops_std,reroute_pct_mean,reroute_pct_std,deltaC_pct_mean,deltaC_pct_std,deltaL_pct_mean,deltaL_pct_std,emissions_proxy_mean,emissions_proxy_std,deltaE_pct_mean,deltaE_pct_std
interdomain,0,baseline_latency,1073.334365013684,26.665361945510767,15.107049352307968,0.7801975004561211,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.6690277438320127,0.22210245672695983,0.0,0.0
interdomain,1,baseline_latency,1108.378024228658,19.99291654850333,15.107049352307968,0.7801975004561211,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.7535392573678363,0.26012427006472216,0.0,0.0
interdomain,2,baseline_latency,1158.8572643830914,41.09197514071616,15.107049352307968,0.7801975004561211,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.8698875163285913,0.20837385380518514,0.0,0.0
interdomain,3,baseline_latency,1194.7963347815034,74.73651949261,15.107049352307968,0.7801975004561211,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.935861302019513,0.12067350771518104,0.0,0.0
interdomain,0,ciro_core,1048.412074514608,57.90701056914787,15.880400474365985,0.3007708447363653,2.0844827586206898,0.01551724137931032,0.0,0.0,2.3957411109658864,2.9702283557973206,5.2971648303565,3.44709937180208,2.2193164058323527,0.009713515209971657,16.299944277607402,6.601144002285265
interdomain,1,ciro_core,1076.8993046815663,60.99724886478674,15.880400474365985,0.3007708447363653,2.0844827586206898,0.01551724137931032,0.0,0.0,2.907748171774445,3.75193977800554,5.2971648303565,3.44709937180208,2.2649056499646694,0.01505205591448533,17.057080962114462,7.288895782624271
interdomain,2,ciro_core,1130.5570008155655,78.98270299259855,15.880400474365985,0.3007708447363653,2.0844827586206898,0.01551724137931032,0.0,0.0,2.561243134146194,3.360482299309755,5.2971648303565,3.44709937180208,2.377554529560143,0.023533403148633614,16.65622382007967,6.871350893005622
interdomain,3,ciro_core,1171.3795359642672,102.53150074715325,15.880400474365985,0.3007708447363653,2.0844827586206898,0.01551724137931032,0.0,0.0,2.1136852747139323,2.458550901670124,5.2971648303565,3.44709937180208,2.4529171655959567,0.07267508823694913,16.206512596058626,5.9196130486346945
interdomain,0,lowcarb_bgp,1003.928797526557,44.682036909147826,15.719791096515229,0.6660873928115318,2.0344827586206895,0.034482758620689724,0.0,0.0,6.51207178172805,1.8403531199836762,4.105959503882199,0.9673940797796607,2.4248283925943026,0.10041089819192295,8.200631972696577,11.401138506094885
interdomain,1,lowcarb_bgp,1031.8386301402793,37.49813016472501,15.79155035577449,0.5943281335522714,2.0344827586206895,0.034482758620689724,1.6666666666666667,1.6666666666666667,6.936276775068756,1.7044706075421958,4.606831991441181,1.468266567338643,2.488894607046282,0.08769971375316721,8.493549650567724,11.829509926731074
interdomain,2,lowcarb_bgp,1084.906433425956,60.67204132174243,15.952675150519974,0.3387862616310908,2.067816091954023,0.0011494252873562871,5.057471264367816,1.6091954022988508,6.449378755609288,1.9182900240821255,5.763830537961004,3.2195598840644712,2.6179195646074316,0.16115134719062163,7.886407002304352,12.303339025985558
interdomain,3,lowcarb_bgp,1123.1876099394467,78.8717037586099,15.743657635467976,0.5464354132457574,2.0344827586206895,0.034482758620689724,8.505747126436782,1.839080459770115,6.038660019439154,0.7238278472039359,4.305378122496094,1.7697204362837309,2.7197567254055586,0.18048355024477303,6.950969010221989,9.972169994329594
interdomain,0,carbon_optimal_as_path,1003.928797526557,44.682036909147826,15.719791096515229,0.6660873928115318,2.0344827586206895,0.034482758620689724,0.0,0.0,6.51207178172805,1.8403531199836762,4.105959503882199,0.9673940797796607,2.4248283925943026,0.10041089819192295,8.200631972696577,11.401138506094885
interdomain,1,carbon_optimal_as_path,1031.8386301402793,37.49813016472501,15.79155035577449,0.5943281335522714,2.0344827586206895,0.034482758620689724,1.6666666666666667,1.6666666666666667,6.936276775068756,1.7044706075421958,4.606831991441181,1.468266567338643,2.488894607046282,0.08769971375316721,8.493549650567724,11.829509926731074
interdomain,2,carbon_optimal_as_path,1084.906433425956,60.67204132174243,15.952675150519974,0.3387862616310908,2.067816091954023,0.0011494252873562871,5.057471264367816,1.6091954022988508,6.449378755609288,1.9182900240821255,5.763830537961004,3.2195598840644712,2.6179195646074316,0.16115134719062163,7.886407002304352,12.303339025985558
interdomain,3,carbon_optimal_as_path,1123.1876099394467,78.8717037586099,15.743657635467976,0.5464354132457574,2.0344827586206895,0.034482758620689724,8.505747126436782,1.839080459770115,6.038660019439154,0.7238278472039359,4.305378122496094,1.7697204362837309,2.7197567254055586,0.18048355024477303,6.950969010221989,9.972169994329594
ospf_metric,0,OSPF,1083.2848373837546,58.95532562687356,15.199673873380767,0.7450442437511411,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.7536939331053985,0.14541952084463383,0.0,0.0
ospf_metric,1,OSPF,1119.9576799433444,50.62551896629134,15.199673873380767,0.7450442437511411,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.84668919201551,0.18942318043916506,0.0,0.0
ospf_metric,2,OSPF,1172.5217653311176,74.94163893168616,15.199673873380767,0.7450442437511411,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,2.9657357534915563,0.1228844493250425,0.0,0.0
ospf_metric,3,OSPF,1208.9220630955,109.06856357384459,15.199673873380767,0.7450442437511411,2.0011494252873563,0.06781609195402305,0.0,0.0,0.0,0.0,0.0,0.0,3.039619547284183,0.03610198452582836,0.0,0.0
ospf_metric,0,C,1002.9417803429735,45.66905409273136,16.359637839810247,1.3059341361065524,2.103448275862069,0.10344827586206895,0.0,0.0,7.371699552663531,0.8252919038566349,7.468569947904031,3.3240564638223127,2.446149916355031,0.07908937443119402,10.767894788950992,7.5843677381079235
ospf_metric,1,C,1028.920952664423,40.415807640581306,16.589443076081004,1.3922208538587855,2.1206896551724137,0.1206896551724137,3.390804597701149,0.05747126436781591,8.103937451255948,0.5452930091623647,8.956226873267667,3.81882376007825,2.5197163051381892,0.05687801566125983,10.958868668609412,7.922978004089914
ospf_metric,2,C,1082.5836025417004,62.99487220599809,16.357847564313076,0.7439586754241923,2.1195402298850574,0.05287356321839076,11.954022988505749,5.2873563218390816,7.636563488989134,0.5308047213284155,7.6384300138629335,0.38155589351006647,2.642276311633994,0.1367946001640592,10.561881270354649,8.318345272710891
