seed,family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
42,interdomain,0,baseline_latency,1099.9997269591947,14.326851851851846,1.9333333333333333,0.0,0.0,0.0,2.446925287105053,0.0
42,interdomain,1,baseline_latency,1128.3709407771614,14.326851851851846,1.9333333333333333,0.0,0.0,0.0,2.493414987303114,0.0
42,interdomain,2,baseline_latency,1199.9492395238076,14.326851851851846,1.9333333333333333,0.0,0.0,0.0,2.661513662523406,0.0
42,interdomain,3,baseline_latency,1269.5328542741133,14.326851851851846,1.9333333333333333,0.0,0.0,0.0,2.815187794304332,0.0
42,interdomain,0,ciro_core,1106.319085083756,15.57962962962962,2.1,0.0,-0.5744872448314342,8.74426420215858,2.209602890622381,9.698800275322135
42,interdomain,1,ciro_core,1137.896553546353,15.57962962962962,2.1,0.0,-0.8441916062310952,8.74426420215858,2.249853594050184,9.768185179490189
42,interdomain,2,ciro_core,1209.5397038081642,15.57962962962962,2.1,0.0,-0.7992391651635615,8.74426420215858,2.4010879327087764,9.78487292707405
42,interdomain,3,ciro_core,1273.9110367114206,15.57962962962962,2.1,0.0,-0.34486562695619194,8.74426420215858,2.525592253832906,10.286899547423932
42,interdomain,0,lowcarb_bgp,1048.6108344357049,15.053703703703697,2.0,0.0,4.671718661744374,5.07335358366186,2.5252392907862253,-3.200506533398306
42,interdomain,1,lowcarb_bgp,1069.3367603050044,15.197222222222218,2.0,3.3333333333333335,5.23180616752656,6.075098558779825,2.5765943207994493,-3.3359602761633504
42,interdomain,2,lowcarb_bgp,1145.5784747476985,15.613888888888884,2.066666666666667,6.666666666666667,4.531088731527163,8.983390422025476,2.779070911798053,-4.416932023681205
42,interdomain,3,lowcarb_bgp,1202.0593136980567,15.197222222222218,2.0,6.666666666666667,5.314832172235218,6.075098558779825,2.9002402756503316,-3.021200984107604
