algorithm,seed,carbon_total,avg_carbon,avg_latency,avg_hops,switch_rate
C,42,133967.56149559398,1116.3963457966165,15.265509259259261,2.0166666666666666,5.555555555555556
C,43,116208.19889227494,1001.7948180368529,17.397714833059652,2.189655172413793,11.49425287356322
C+IncD,42,140330.60025689047,1169.4216688074205,14.385185185185186,1.9333333333333333,0.0
C+IncD,43,119496.20812473055,1030.1397252131944,15.995347564313073,2.0689655172413794,0.0
CE,42,151173.88408413492,1259.782367367791,16.13240740740741,2.1,0.0
CE,43,138377.38097584972,1192.9084566883596,18.081964969895996,2.3793103448275863,2.2988505747126435
OSPF,42,146348.32178557236,1219.569348213103,14.454629629629629,1.9333333333333333,0.0
OSPF,43,124441.76366099561,1072.7738246637552,15.9447181171319,2.0689655172413794,0.0
baseline_latency,42,140935.58284602835,1174.4631903835696,14.326851851851853,1.9333333333333333,0.0
baseline_latency,43,126813.49724310827,1093.219803819899,15.887246852764083,2.0689655172413794,0.0
carbon_optimal_as_path,42,133967.56149559398,1116.3963457966165,15.265509259259261,2.0166666666666666,5.555555555555556
carbon_optimal_as_path,43,116641.98920746241,1005.5343897195036,16.338327859879573,2.0689655172413794,4.597701149425287
ciro_core,42,141829.9913744908,1181.9165947874235,15.579629629629629,2.1,0.0
ciro_core,43,119678.05413126727,1031.70736320058,16.181171319102344,2.0689655172413794,0.0
lowcarb_bgp,42,133967.56149559398,1116.3963457966165,15.265509259259261,2.0166666666666666,5.555555555555556
lowcarb_bgp,43,116641.98920746241,1005.5343897195036,16.338327859879573,2.0689655172413794,4.597701149425287
