scope,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,changed_pct,emissions_proxy,deltaE_pct
hour0,baseline_latency,1583.4571635243808,18.30141176523086,2.592964824120603,0.0,0.0,0.0,0.0,4.229476581260964,0.0
hour0,ciro_core,1517.4290657843803,18.879913609561854,2.5979899497487438,0.0,4.1698695273220014,3.160968409169588,43.21608040201005,3.922975143590215,7.246793587384504
hour0,lowcarb_bgp,1515.5319685174616,18.880096104342336,2.5979899497487438,0.0,4.289676826857424,3.161965571480469,41.20603015075377,3.830812720201501,9.425843917088349
mean24h,baseline_latency,1580.6584692473973,18.30141176523086,2.592964824120603,0.0,0.0,0.0,0.0,4.173045130604471,0.0
mean24h,ciro_core,1511.5520732573548,18.921236848136974,2.597780569514238,1.0705702425169326,4.372000488059025,3.3867610371111487,0.0,3.8772329216766805,7.0886414996653055
mean24h,lowcarb_bgp,1510.8243482070154,18.901555569755946,2.5967336683417086,6.510814944286651,4.418039848521621,3.2792213640329257,0.0,3.8705196507934843,7.24951373260528
