seed,family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
42,interdomain,0,baseline_latency,1412.2326248144445,24.40529338199761,3.655,0.0,0.0,0.0,3.4080926014535775,0.0
42,interdomain,1,baseline_latency,1480.2572390248897,24.40529338199761,3.655,0.0,0.0,0.0,3.57391621346451,0.0
42,interdomain,2,baseline_latency,1537.8085936428306,24.40529338199761,3.655,0.0,0.0,0.0,3.702736253462648,0.0
42,interdomain,3,baseline_latency,1598.402737276668,24.40529338199761,3.655,0.0,0.0,0.0,3.8701616610943845,0.0
42,interdomain,4,baseline_latency,1645.5719626658172,24.40529338199761,3.655,0.0,0.0,0.0,3.968999104508542,0.0
42,interdomain,5,baseline_latency,1657.593834807302,24.40529338199761,3.655,0.0,0.0,0.0,4.0132774315273885,0.0
42,interdomain,6,baseline_latency,1668.2792368239564,24.40529338199761,3.655,0.0,0.0,0.0,4.021471922543132,0.0
42,interdomain,7,baseline_latency,1674.0872341379118,24.40529338199761,3.655,0.0,0.0,0.0,4.042232918493269,0.0
42,interdomain,8,baseline_latency,1643.2649171461846,24.40529338199761,3.655,0.0,0.0,0.0,3.9606108594332743,0.0
42,interdomain,9,baseline_latency,1600.610919076562,24.40529338199761,3.655,0.0,0.0,0.0,3.86312818386932,0.0
42,interdomain,10,baseline_latency,1537.1291639845304,24.40529338199761,3.655,0.0,0.0,0.0,3.7010493283990757,0.0
42,interdomain,11,baseline_latency,1464.832696646999,24.40529338199761,3.655,0.0,0.0,0.0,3.5572717526095907,0.0
42,interdomain,12,baseline_latency,1401.76434062761,24.40529338199761,3.655,0.0,0.0,0.0,3.399768886946319,0.0
42,interdomain,13,baseline_latency,1331.026357137929,24.40529338199761,3.655,0.0,0.0,0.0,3.2274296520880488,0.0
42,interdomain,14,baseline_latency,1260.1122284576068,24.40529338199761,3.655,0.0,0.0,0.0,3.041862560406517,0.0
42,interdomain,15,baseline_latency,1213.0566794166489,24.40529338199761,3.655,0.0,0.0,0.0,2.906188369636539,0.0
42,interdomain,16,baseline_latency,1155.1969119049813,24.40529338199761,3.655,0.0,0.0,0.0,2.791805027649391,0.0
42,interdomain,17,baseline_latency,1125.5492125112532,24.40529338199761,3.655,0.0,0.0,0.0,2.7168649775972127,0.0
42,interdomain,18,baseline_latency,1119.1133310644875,24.40529338199761,3.655,0.0,0.0,0.0,2.7090788902018206,0.0
42,interdomain,19,baseline_latency,1137.9710838789588,24.40529338199761,3.655,0.0,0.0,0.0,2.743588524009115,0.0
42,interdomain,20,baseline_latency,1158.052073865051,24.40529338199761,3.655,0.0,0.0,0.0,2.8103680338538477,0.0
42,interdomain,21,baseline_latency,1196.6360999381584,24.40529338199761,3.655,0.0,0.0,0.0,2.888826554660359,0.0
42,interdomain,22,baseline_latency,1259.4721266856404,24.40529338199761,3.655,0.0,0.0,0.0,3.0437256947767164,0.0
42,interdomain,23,baseline_latency,1321.6921278962263,24.40529338199761,3.655,0.0,0.0,0.0,3.2044571671709825,0.0
42,interdomain,0,ciro_core,1376.0239788611684,26.558775657883004,3.965,0.0,2.5639292930251933,8.8238327734011,2.8071175786550793,17.633764485805866
42,interdomain,1,ciro_core,1449.714516919149,26.56145962444587,3.97,1.0,2.0633388103449204,8.834830250550244,2.9544506057086006,17.332963918463193
42,interdomain,2,ciro_core,1507.0677759880855,26.56145962444587,3.97,0.0,1.9990015520673399,8.834830250550244,3.0591829816171185,17.38047832177365
42,interdomain,3,ciro_core,1562.7921596995616,26.56145962444587,3.97,0.0,2.227885172280115,8.834830250550244,3.182375606155187,17.771507114374884
42,interdomain,4,ciro_core,1610.9662523042987,26.535363640783512,3.965,0.5,2.1029594054007488,8.727902694901157,3.2896869492423035,17.11545246998371
42,interdomain,5,ciro_core,1620.3598337808849,26.535363640783512,3.965,0.0,2.24626806908616,8.727902694901157,3.314334074956043,17.415774725181137
42,interdomain,6,ciro_core,1638.7383235605273,26.535363640783512,3.965,0.0,1.770741528838336,8.727902694901157,3.340868741973592,16.924230572251126
42,interdomain,7,ciro_core,1635.9483566870895,26.535363640783512,3.965,0.5,2.278189372279772,8.727902694901157,3.3383890563109127,17.412253978791316
42,interdomain,8,ciro_core,1604.05475598023,26.535363640783512,3.965,0.0,2.3861132040748383,8.727902694901157,3.2728719330181377,17.364466008497118
42,interdomain,9,ciro_core,1565.7885742175145,26.54738384280371,3.97,1.0,2.1755658695079667,8.777155133017986,3.1980457609720094,17.216162426978077
42,interdomain,10,ciro_core,1525.0823505954386,26.571029514194212,3.975,3.0,0.7837216072242194,8.874042603372851,3.06353959146719,17.2251078103746
42,interdomain,11,ciro_core,1447.0719213666875,26.529015625305323,3.97,1.0,1.2124780748658783,8.701891880858366,2.9381127495733415,17.405445692532158
42,interdomain,12,ciro_core,1377.3831841911797,26.5277006114272,3.965,1.0,1.739319208642027,8.696503648651769,2.8019719600725184,17.583457780588827
42,interdomain,13,ciro_core,1306.0746194114922,26.5134635943126,3.965,1.0,1.8746238639548636,8.638167873327301,2.649462025324274,17.907985272114214
42,interdomain,14,ciro_core,1240.1991603367414,26.5134635943126,3.965,0.0,1.5802614776018136,8.638167873327301,2.5113004814227953,17.442013517955157
42,interdomain,15,ciro_core,1200.6600646504478,26.520130260979272,3.965,0.5,1.0219320314169107,8.665484351610612,2.403752213434904,17.28849242709178
42,interdomain,16,ciro_core,1138.784684182357,26.48838446291769,3.955,2.0,1.4207298819349878,8.535406841110373,2.3091612848724283,17.28787426045052
42,interdomain,17,ciro_core,1107.728244021174,26.500404664937886,3.96,0.5,1.5833131321124703,8.58465927922719,2.243244223064942,17.432620260398057
42,interdomain,18,ciro_core,1096.47351260523,26.552046426398597,3.96,2.0,2.023013919217876,8.796259937545045,2.2274422134822105,17.77861392156539
42,interdomain,19,ciro_core,1112.8526687641458,26.48310140533144,3.945,2.0,2.2072981880341587,8.513759661936744,2.2598649351166076,17.631054535308316
42,interdomain,20,ciro_core,1137.3089376231937,26.50101506835923,3.95,2.0,1.7912092823793364,8.587160389997669,2.3189731907064774,17.485070895626514
