seed,family,algo,deltaC_pct,deltaE_pct
42,interdomain,baseline_latency,0.0,2.626228027887267e-14
42,interdomain,ciro_core,1.8338335214336505,17.41512376231515
42,interdomain,lowcarb_bgp,15.021310899894997,11.046911357897208
42,interdomain,carbon_optimal_as_path,15.021310899894997,11.046911357897208
42,ospf_metric,OSPF,0.0,-1.3334875232906512e-14
42,ospf_metric,C,18.669445129882412,11.48408625784645
42,ospf_metric,C+IncD,3.1349461899016684,16.178959434232215
42,ospf_metric,CE,5.796898606486947,-3.2571767918086763
43,interdomain,baseline_latency,0.0,3.265460045498301e-14
43,interdomain,ciro_core,1.0634127063967014,18.55122155889631
43,interdomain,lowcarb_bgp,9.772903016284252,11.305816877139927
43,interdomain,carbon_optimal_as_path,9.772903016284252,11.305816877139927
43,ospf_metric,OSPF,0.0,1.61929795205534e-14
43,ospf_metric,C,17.279816148816582,20.88725717626938
43,ospf_metric,C+IncD,4.042444718721471,27.14785281820997
43,ospf_metric,CE,-0.19367944298427142,0.8158803204231079
44,interdomain,baseline_latency,0.0,0.0
44,interdomain,ciro_core,5.101430721735809,18.157061843407504
44,interdomain,lowcarb_bgp,16.23585155359131,10.211986820410585
44,interdomain,carbon_optimal_as_path,16.23585155359131,10.211986820410585
44,ospf_metric,OSPF,0.0,0.0
44,ospf_metric,C,22.499687777194133,15.887304260542928
44,ospf_metric,C+IncD,4.721558591085476,18.58509708992049
44,ospf_metric,CE,12.129385344578939,7.555900665478852
45,interdomain,baseline_latency,0.0,-1.3661929138628996e-14
45,interdomain,ciro_core,3.199388569318169,17.889925700632155
45,interdomain,lowcarb_bgp,12.658443766614955,9.998259082628254
45,interdomain,carbon_optimal_as_path,12.658443766614955,9.998259082628254
45,ospf_metric,OSPF,0.0,0.0
45,ospf_metric,C,17.458347075500168,15.786135217126805
45,ospf_metric,C+IncD,6.646216330337589,17.3775681238628
45,ospf_metric,CE,6.572721750035916,10.90871165598846
46,interdomain,baseline_latency,0.0,0.0
46,interdomain,ciro_core,-3.829010584818073,15.263956190387429
46,interdomain,lowcarb_bgp,3.870029109872,3.8527170735304814
46,interdomain,carbon_optimal_as_path,3.870029109872,3.8527170735304814
46,ospf_metric,OSPF,0.0,0.0
46,ospf_metric,C,3.279519799190867,1.439224843616919
46,ospf_metric,C+IncD,-3.3391655669197995,14.438615695766298
46,ospf_metric,CE,-17.535473764470126,-19.550747152900172
47,interdomain,baseline_latency,0.0,0.0
47,interdomain,ciro_core,6.689699665983586,21.507782727025727
47,interdomain,lowcarb_bgp,14.91237271038343,14.915945709585971
47,interdomain,carbon_optimal_as_path,14.91237271038343,14.915945709585971
47,ospf_metric,OSPF,0.0,3.846711135072251e-14
47,ospf_metric,C,25.10671478433282,23.277896534973028
47,ospf_metric,C+IncD,9.810799773589647,24.636835341550217
47,ospf_metric,CE,13.191722086912936,9.43500608547367
48,interdomain,baseline_latency,0.0,1.779831340422999e-14
48,interdomain,ciro_core,-4.738271214354445,15.538521970915475
48,interdomain,lowcarb_bgp,6.14334454422598,1.3734051625797115
48,interdomain,carbon_optimal_as_path,6.14334454422598,1.3734051625797115
48,ospf_metric,OSPF,0.0,-1.7903412393577602e-14
48,ospf_metric,C,7.636839638154628,0.35161045401699975
48,ospf_metric,C+IncD,-2.937553645788148,17.586093557857883
48,ospf_metric,CE,-8.341465555176798,-10.272639342943899
49,interdomain,baseline_latency,0.0,-3.371448498424683e-14
49,interdomain,ciro_core,-2.882267131620165,15.781810964536712
49,interdomain,lowcarb_bgp,5.487516384433566,6.4200688899352025
49,interdomain,carbon_optimal_as_path,5.487516384433566,6.4200688899352025
49,ospf_metric,OSPF,0.0,0.0
49,ospf_metric,C,7.612595457538642,7.72335277892909
49,ospf_metric,C+IncD,-1.0145931029454582,19.24344907624175
49,ospf_metric,CE,-10.702381880273684,-8.912515423872891
50,interdomain,baseline_latency,0.0,0.0
50,interdomain,ciro_core,-0.009391176081136394,18.20761190884148
50,interdomain,lowcarb_bgp,8.86066477742131,7.288184508529399
50,interdomain,carbon_optimal_as_path,8.86066477742131,7.288184508529399
50,ospf_metric,OSPF,0.0,1.9087428600606246e-14
