algorithm,seed,carbon_total,avg_carbon,avg_latency,avg_hops,switch_rate
C,42,5410758.438609337,1127.2413413769452,29.971765691459495,4.3675,12.91304347826087
C,43,8195704.235092348,1707.4383823109058,32.30781601109077,4.68375,14.73913043478261
C,44,4960903.543094109,1033.5215714779392,31.55880588873252,4.548125,9.565217391304348
C,45,5276969.451539626,1099.3686357374222,30.401826282155472,4.411041666666667,12.304347826086957
C,46,9004737.228976486,1875.9869227034346,25.876951260841388,3.7283333333333335,16.67391304347826
C,47,6926720.12932295,1443.0666936089478,36.96990319123056,5.359166666666667,13.695652173913043
C,48,9612417.380658817,2002.58695430392,27.690394747568213,3.959791666666667,15.456521739130435
C,49,9139613.59716612,1913.654438267613,27.18576037793955,3.8800251256281406,14.201441992571555
C,50,7958262.945872711,1657.971447056815,30.514673998098715,4.336666666666667,12.021739130434783
C,51,6039631.312043569,1258.2565233424102,28.293649868705433,4.066041666666667,12.91304347826087
C,52,8636023.655509578,1799.1715948978288,28.54522845484345,4.071666666666666,12.434782608695652
C,53,4786624.562649955,997.2134505520739,31.414022857490334,4.589166666666666,12.956521739130435
C,54,8232062.779444327,1715.0130790509013,28.723122412043164,4.146458333333333,12.956521739130435
C,55,8717677.694716066,1816.1828530658472,28.304769889887297,4.028333333333333,13.434782608695652
C,56,5725383.800584338,1192.7882917884037,31.975451941024833,4.703125,18.347826086956523
C,57,7540263.0972465305,1570.8881452596938,30.658379337316102,4.427708333333333,10.91304347826087
C,58,10067948.258842962,2097.489220592284,30.490584520852124,4.437916666666666,14.956521739130435
C,59,9489522.119199537,1976.9837748332368,26.842665767829768,3.83375,13.58695652173913
C,60,5591263.261741606,1164.8465128628345,34.49899418423886,4.905625,12.173913043478262
C,61,6776547.455621593,1411.7807199211652,30.732952299564214,4.4522916666666665,11.347826086956522
C+IncD,42,6444237.4473693,1342.5494682019375,26.04370742404432,3.8272916666666665,6.391304347826087
C+IncD,43,9507229.137966083,1980.6727370762674,28.2071774000841,4.133125,11.456521739130435
C+IncD,44,6098906.494816389,1270.6055197534145,26.908895202848335,3.8925,10.217391304347826
C+IncD,45,5968199.656251698,1243.3749283857703,26.52461264657122,3.89875,11.152173913043478
C+IncD,46,9620940.978165489,2004.3627037844767,26.949471344562426,3.9341666666666666,9.326086956521738
C+IncD,47,8341406.667591739,1737.7930557482791,28.14525044354019,4.076875,10.695652173913043
C+IncD,48,10712915.47312647,2231.857390234681,27.25977847885191,4.008333333333334,9.630434782608695
C+IncD,49,9993075.93072992,2092.3525818111225,26.22525835194985,3.810929648241206,10.662005680576797
C+IncD,50,8960042.882448247,1866.6756005100515,27.849958991654912,4.059375,8.282608695652174
C+IncD,51,6604324.809740972,1375.901002029369,27.467381292284227,3.9635416666666665,11.978260869565217
C+IncD,52,9522507.379750157,1983.855704114616,27.26509172607097,3.9433333333333334,9.0
C+IncD,53,5369395.73790228,1118.624112062975,28.12249728177669,4.123333333333333,8.065217391304348
