scope,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,changed_pct,emissions_proxy,deltaE_pct
hour0,OSPF,1583.4443712103007,18.419620329419324,2.592964824120603,0.0,0.0,0.0,0.0,4.186908306818936,0.0
hour0,C,1511.4332873410065,19.11598439249193,2.608040201005025,0.0,4.547749524932965,3.780556008314642,41.70854271356784,3.839516287211441,8.297101205720729
hour0,C+IncD,1580.4227964118581,19.83060140585266,2.7386934673366836,0.0,0.19082292080352733,7.66020716604976,44.221105527638194,3.590878816054407,14.235551559460138
hour0,CE,1574.162063321756,19.752591922315542,2.7185929648241207,0.0,0.5862099141158816,7.2366941829264055,47.73869346733668,3.528643279501962,15.721983360488267
mean24h,OSPF,1583.2104646069563,18.419620329419324,2.592964824120603,0.0,0.0,0.0,0.0,4.142828739348794,0.0
mean24h,C,1507.1634759775952,19.110390004328448,2.604899497487437,7.952807515840069,4.803340448374328,3.75018411104731,0.0,3.8802230285798527,6.33880199475058
mean24h,C+IncD,1581.7551301876963,19.75696610991837,2.7328308207705194,7.100720996285777,0.09192299140223884,7.260441619217706,0.0,3.553546918347856,14.224141476182936
mean24h,CE,1575.333405156274,19.70670177114901,2.711683417085427,5.615031680139829,0.4975371011483189,6.987556848139775,0.0,3.494693213120874,15.644757893849116
