algorithm,carbon_total_mean,carbon_total_std,avg_carbon_mean,avg_carbon_std,avg_latency_mean,avg_latency_std,avg_hops_mean,avg_hops_std,switch_rate_mean,switch_rate_std
C,40281.04446483696,2597.647070664698,1007.026111620924,64.9411767666175,15.736755952380953,0.7943948412698454,2.0375,0.03750000000000009,5.0,0.0
C+IncD,42107.75142407698,3179.6738919780546,1052.6937856019244,79.49184729945131,14.785912698412698,0.5914682539682543,1.975,0.025000000000000022,0.0,0.0
CE,47073.74606958301,1208.8632792849967,1176.8436517395753,30.221581982124917,17.09146825396826,0.6692460317460327,2.25,0.10000000000000009,0.0,0.0
OSPF,44144.8687882637,2949.2681089066937,1103.6217197065926,73.73170272266736,14.790873015873014,0.5130952380952403,1.975,0.025000000000000022,0.0,0.0
baseline_latency,43773.731421463475,1931.024351937056,1094.3432855365868,48.27560879842633,14.684623015873015,0.5776785714285726,1.975,0.025000000000000022,0.0,0.0
carbon_optimal_as_path,40310.649830252514,2568.041705249143,1007.7662457563129,64.20104263122863,15.422172619047618,0.4798115079365104,2.0,0.0,2.5,2.5
ciro_core,42384.40290338378,3452.451412515402,1059.6100725845945,86.31128531288505,15.460218253968254,0.16160714285714395,2.05,0.050000000000000044,0.0,0.0
lowcarb_bgp,40310.649830252514,2568.041705249143,1007.7662457563129,64.20104263122863,15.422172619047618,0.4798115079365104,2.0,0.0,2.5,2.5
