algorithm,carbon_total_mean,carbon_total_std,avg_carbon_mean,avg_carbon_std,avg_latency_mean,avg_latency_std,avg_hops_mean,avg_hops_std,switch_rate_mean,switch_rate_std
C,4431709.41060436,885072.4896347725,1157.587084738721,250.0940581940991,14.956682083828465,0.5945859569501019,1.9495086312822185,0.03941605267510387,6.681272179913961,1.67392889899721
C+IncD,4646055.861183969,935014.0503196275,1213.5366348229243,263.73467659008344,14.530852699740851,0.42046307313977543,1.9138813635860412,0.047555844150526085,2.038564617593029,2.2321128759257283
CE,4858345.659637004,785330.8908327302,1268.9725747112072,228.19250254455696,15.987733992439917,0.47231039011240383,2.1114944097302106,0.017403429365156448,2.5483078309318565,1.683975644916902
OSPF,4730541.71874475,898056.9791669844,1235.7591487629159,256.30742331997243,14.193515472819243,0.4040098189480897,1.8784696010642468,0.047040520151576275,0.0,0.0
baseline_latency,4692221.4484069105,887698.2367558634,1225.354848257788,251.603687776248,14.13786671885581,0.4192900817908006,1.8784696010642468,0.047040520151576275,0.0,0.0
carbon_optimal_as_path,4437851.07452449,881407.1926493901,1159.1582427980072,249.10815348278237,14.755940183728532,0.3559766231413969,1.928569170840963,0.036106236015774076,6.616929860269795,1.7234125955257553
ciro_core,4674219.91585462,930258.0021582041,1220.5657506317152,260.82459263056467,15.041033522328357,0.22024737431926097,1.9812817731709238,0.05173165692035846,0.083961407212825,0.13122170692845656
lowcarb_bgp,4437851.07452449,881407.1926493901,1159.1582427980072,249.10815348278237,14.755940183728532,0.3559766231413969,1.928569170840963,0.036106236015774076,6.616929860269795,1.7234125955257553
