algorithm,seed,carbon_total,avg_carbon,avg_latency,avg_hops,switch_rate
C,42,3782159.316034128,1016.7094935575612,14.661932497013268,1.9327956989247312,5.273492286115007
C,43,3523151.185539205,911.7886090939971,16.104359739064968,1.9873188405797102,7.453416149068323
C,44,4893689.160066882,1243.3153353828461,14.903468482737043,1.9682418699186992,4.480381760339342
C,45,5942893.360053344,1607.9256926551254,14.700033927712708,1.9791666666666667,9.232072275550538
C,46,4016654.0313282367,1008.1962930040755,14.413615772614337,1.8800200803212852,6.966998428496595
C+IncD,42,3966419.733586816,1066.2418638674237,14.105398745519798,1.8725806451612903,0.6732117812061711
C+IncD,43,3657490.1327743,946.5554173846532,15.20827171448311,1.915631469979296,0.8101539292465568
C+IncD,44,5142744.506253639,1306.5915920359855,14.48651310579686,1.9227642276422765,1.4846235418875928
C+IncD,45,6231604.368578365,1686.040143013627,14.759092841682374,1.996482683982684,6.465273856578205
C+IncD,46,4232020.564726723,1062.2541578129326,14.09498709122211,1.8619477911646587,0.7595599790466213
CE,42,4367550.904536048,1174.0728238000129,16.57700119474327,2.139247311827957,4.23562412342216
CE,43,4062338.1114928774,1051.329738999192,16.507932400013477,2.110766045548654,4.455846610856063
CE,44,5170638.536191595,1313.678489886076,15.768848656425218,2.1021341463414633,0.15906680805938495
CE,45,6250270.030935517,1691.090376335367,15.379554473304742,2.0868506493506493,2.7385657820440428
CE,46,4440930.7150289845,1114.6914445353877,15.705333237712871,2.1184738955823295,1.1524358302776323
OSPF,42,4109109.41274124,1104.5993045003333,13.997132616487555,1.8580645161290323,0.0
OSPF,43,3796061.605620018,982.4175997981414,14.89130434782626,1.8819875776397517,0.0
OSPF,44,5072207.380710051,1288.670574367391,13.849883855981625,1.8353658536585367,0.0
OSPF,45,6317248.549150426,1709.2122697917819,14.397572665430046,1.9675324675324675,0.0
OSPF,46,4358081.645502017,1093.895995356932,13.83168387837073,1.8493975903614457,0.0
baseline_latency,42,3987911.8993381364,1072.019327779069,13.92455197132624,1.8580645161290323,0.0
baseline_latency,43,3781864.2406490627,978.7433335013102,14.86887508626656,1.8819875776397517,0.0
baseline_latency,44,5078805.248545204,1290.3468619271353,13.849883855981625,1.8353658536585367,0.0
baseline_latency,45,6231383.919456267,1685.9804976883838,14.331091527520334,1.9675324675324675,0.0
baseline_latency,46,4381141.934045879,1099.6842203930419,13.714931153184283,1.8493975903614457,0.0
carbon_optimal_as_path,42,3782768.3789173234,1016.8732201390654,14.591517323775506,1.9263440860215053,4.768583450210379
carbon_optimal_as_path,43,3536621.346572291,915.274675613947,15.368076095172615,1.9070910973084887,8.101539292465569
carbon_optimal_as_path,44,4893839.876629289,1243.3536271924006,14.883391570320192,1.9654471544715446,4.40084835630965
carbon_optimal_as_path,45,5944507.268933986,1608.362356313308,14.626788720538922,1.9699675324675325,8.610954263128177
carbon_optimal_as_path,46,4031518.5015695593,1011.9273347313151,14.309927208835429,1.873995983935743,7.202723939235201
ciro_core,42,3980406.9471093738,1070.0018675025199,14.640681003584339,1.9483870967741936,0.0
ciro_core,43,3643913.1805201336,943.0417133851278,15.10449324657418,1.9006211180124224,0.08101539292465568
ciro_core,44,5244269.417776188,1332.3855228089908,15.308863900327657,2.0304878048780486,0.0
ciro_core,45,6198117.176391574,1676.9797555172006,15.120937263794648,2.038961038961039,0.33879164313946925
ciro_core,46,4304392.857475832,1080.419893944737,15.030192197360966,1.9879518072289157,0.0
lowcarb_bgp,42,3782768.3789173234,1016.8732201390654,14.591517323775506,1.9263440860215053,4.768583450210379
lowcarb_bgp,43,3536621.346572291,915.274675613947,15.368076095172615,1.9070910973084887,8.101539292465569
lowcarb_bgp,44,4893839.876629289,1243.3536271924006,14.883391570320192,1.9654471544715446,4.40084835630965
lowcarb_bgp,45,5944507.268933986,1608.362356313308,14.626788720538922,1.9699675324675325,8.610954263128177
lowcarb_bgp,46,4031518.5015695593,1011.9273347313151,14.309927208835429,1.873995983935743,7.202723939235201
