seed,family,algo,deltaC_pct,deltaE_pct
42,interdomain,baseline_latency,0.0,1.800229589296309e-14
42,interdomain,ciro_core,0.18819252827549546,9.887930125443479
42,interdomain,lowcarb_bgp,5.1441337120526605,-0.7509482290750636
42,interdomain,carbon_optimal_as_path,5.1441337120526605,-0.7509482290750636
42,ospf_metric,OSPF,0.0,3.467491675262334e-14
42,ospf_metric,C,7.956714311216189,2.684430491572277
42,ospf_metric,C+IncD,3.4725208024879004,10.457152076497465
42,ospf_metric,CE,-6.289477009140968,-19.841643619005474
43,interdomain,baseline_latency,0.0,1.615748531328084e-14
43,interdomain,ciro_core,3.647699953006662,18.518681676751548
43,interdomain,lowcarb_bgp,6.4847090871430755,12.915315008524606
43,interdomain,carbon_optimal_as_path,6.4847090871430755,12.915315008524606
43,ospf_metric,OSPF,0.0,1.580324240549028e-14
43,ospf_metric,C,7.189304295714847,14.18441926005303
43,ospf_metric,C+IncD,3.6504010535699933,21.82745026175446
43,ospf_metric,CE,-7.014546483614335,-17.93487654069303
44,interdomain,baseline_latency,0.0,1.916388649806803e-14
44,interdomain,ciro_core,-3.2579349105459707,10.879867974798191
44,interdomain,lowcarb_bgp,3.6419071585565757,-14.40092240744299
44,interdomain,carbon_optimal_as_path,3.6419071585565757,-14.40092240744299
44,ospf_metric,OSPF,0.0,1.918513596120673e-14
44,ospf_metric,C,3.5195371017771637,-14.692111326927645
44,ospf_metric,C+IncD,-1.3906593372315532,7.311760700926705
44,ospf_metric,CE,-1.940598009771993,10.77596229847707
45,interdomain,baseline_latency,0.0,0.0
45,interdomain,ciro_core,0.5338580240710941,7.255046751004931
45,interdomain,lowcarb_bgp,4.603738980462626,0.13156673941359595
45,interdomain,carbon_optimal_as_path,4.603738980462626,0.13156673941359595
45,ospf_metric,OSPF,0.0,0.0
45,ospf_metric,C,5.925921485983399,-3.1755128006007416
45,ospf_metric,C+IncD,1.355719660319011,2.848129673036697
45,ospf_metric,CE,1.06024826621547,-5.6641521371125085
46,interdomain,baseline_latency,0.0,2.040602560511807e-14
46,interdomain,ciro_core,1.7518052992905448,9.189461302549368
46,interdomain,lowcarb_bgp,7.980189588458714,-0.8496489920597028
46,interdomain,carbon_optimal_as_path,7.980189588458714,-0.8496489920597028
46,ospf_metric,OSPF,0.0,0.0
46,ospf_metric,C,7.834355616677731,0.0398867044732119
46,ospf_metric,C+IncD,2.892581897941216,6.314340618408561
46,ospf_metric,CE,-1.9010444563946292,-14.89366627666751
